unit	course_level	exit_ticket	question	standard	standard_description	possible_points	source_file	notes
Unit 1: Statistics	Regular	1.1 Exit Ticket	Regular 5	S-ID.A.2	Use statistics appropriate to the shape of the data distribution to compare center and spread.	5	1.1 Exit Ticket.pdf	Mode of the number-of-siblings dot plot; the Honors summative uses different content for question 5.
Unit 1: Statistics	Shared	1.1 Exit Ticket	6	S-ID.A.2	Use statistics appropriate to the shape of the data distribution to compare center and spread.	5	1.1 Exit Ticket.pdf	Mean number of pets; same task in Core and Honors.
Unit 1: Statistics	Shared	1.1 Exit Ticket	7b	S-ID.A.2	Use statistics appropriate to the shape of the data distribution to compare center and spread.	5	1.1 Exit Ticket.pdf	Mode of the temperature data; same task in Core and Honors.
Unit 1: Statistics	Shared	1.1 Exit Ticket	7c	S-ID.A.2	Use statistics appropriate to the shape of the data distribution to compare center and spread.	5	1.1 Exit Ticket.pdf	Mean of the temperature data; same task in Core and Honors.
Unit 1: Statistics	Shared	1.1 Exit Ticket	7d	S-ID.A.2	Use statistics appropriate to the shape of the data distribution to compare center and spread.	5	1.1 Exit Ticket.pdf	Effect on the mean when all values are multiplied by 3; same task in Core and Honors.
Unit 1: Statistics	Shared	1.2 Exit Ticket	3	S-ID.A.2	Use statistics appropriate to the shape of the data distribution to compare center and spread.	5	1.2 Exit Ticket.pdf	Median number of siblings; same task in Core and Honors.
Unit 1: Statistics	Shared	1.2 Exit Ticket	7a	S-ID.A.2	Use statistics appropriate to the shape of the data distribution to compare center and spread.	5	1.2 Exit Ticket.pdf	Median of the temperature data; same task in Core and Honors.
Unit 1: Statistics	Shared	1.3 Exit Ticket	Regular 1 / Honors 4	S-ID.A.1	Represent data with plots on the real number line, including dot plots, histograms, and box plots.	5	1.3 Exit_Ticket.pdf	Quiz-score histogram task; numbered 1 on Core and 4 on Honors.
Unit 1: Statistics	Regular	1.3 Exit Ticket	Regular 10a	S-ID.A.1	Represent data with plots on the real number line, including dot plots, histograms, and box plots.	5	1.3 Exit_Ticket.pdf	Interpret the dog-weight histogram: total weights recorded.
Unit 1: Statistics	Regular	1.3 Exit Ticket	Regular 10b	S-ID.A.1	Represent data with plots on the real number line, including dot plots, histograms, and box plots.	5	1.3 Exit_Ticket.pdf	Interpret the dog-weight histogram: dogs weighing 29 pounds or less.
Unit 1: Statistics	Shared	1.4 Exit Ticket	8	S-ID.A.1	Represent data with plots on the real number line, including dot plots, histograms, and box plots.	5	1.4 Exit_Ticket.pdf	Identify the type of data in the 5K table; shared prompt.
Unit 1: Statistics	Shared	1.4 Exit Ticket	9	S-ID.A.1	Represent data with plots on the real number line, including dot plots, histograms, and box plots.	5	1.4 Exit_Ticket.pdf	Choose the appropriate model for the 5K data; shared prompt.
Unit 1: Statistics	Honors	1.4 Exit Ticket	Honors 10a	S-ID.A.1	Represent data with plots on the real number line, including dot plots, histograms, and box plots.	5	1.4 Exit_Ticket.pdf	Create a model for the 5K data; first rubric component of the Honors version.
Unit 1: Statistics	Honors	1.4 Exit Ticket	Honors 10b	S-ID.A.1	Represent data with plots on the real number line, including dot plots, histograms, and box plots.	5	1.4 Exit_Ticket.pdf	Create a model for the 5K data; second rubric component of the Honors version.
Unit 1: Statistics	Regular	1.5 Exit Ticket	Regular 11a	S-ID.A.3	Interpret differences in shape, center, and spread in context, accounting for possible effects of extreme data points.	10	1.5 Exit Ticket.pdf	Five-number summary using the Core data set beginning with 45.
Unit 1: Statistics	Regular	1.5 Exit Ticket	Regular 11b	S-ID.A.3	Interpret differences in shape, center, and spread in context, accounting for possible effects of extreme data points.	5	1.5 Exit Ticket.pdf	Create a box plot using the Core data set beginning with 45.
Unit 1: Statistics	Shared	1.6 Exit Ticket	Regular 4 / Honors 1	S-ID.A.2	Use statistics appropriate to the shape of the data distribution to compare center and spread.	5	1.6 Exit Ticket.pdf	Median from the basketball-score box plot; numbered 4 on Core and 1 on Honors.
Unit 1: Statistics	Shared	1.6 Exit Ticket	2	S-ID.A.2	Use statistics appropriate to the shape of the data distribution to compare center and spread.	5	1.6 Exit Ticket.pdf	Range from the pairs-of-shoes dot plot; same task in Core and Honors.
Unit 1: Statistics	Regular	1.6 Exit Ticket	Regular 11c	S-ID.A.3	Interpret differences in shape, center, and spread in context, accounting for possible effects of extreme data points.	5	1.6 Exit Ticket.pdf	Find and interpret the IQR; Core version.
Unit 1: Statistics	Regular	1.7 Exit Ticket	Regular 11d	S-ID.A.3	Interpret differences in shape, center, and spread in context, accounting for possible effects of extreme data points.	5	1.7 Exit Ticket.pdf	Explain which statistic changes most when a QBR of 19 is added; Core version.
Unit 1: Statistics	Honors	1.7 Exit Ticket	Honors 11c	S-ID.A.3	Interpret differences in shape, center, and spread in context, accounting for possible effects of extreme data points.	5	1.7 Exit Ticket.pdf	Find outliers in the QBR data; Honors version.
Unit 1: Statistics	Honors	1.8 Exit Ticket - Front Side	Honors 11d	S-ID.A.3	Interpret differences in shape, center, and spread in context, accounting for possible effects of extreme data points.	5	1.8 Exit Ticket - Front Side.pdf	Describe spread using range, IQR, and shape; Honors version.
Unit 1: Statistics	Honors	1.8 Exit Ticket - Back Side	Honors Q1	S-ID.A.3	Interpret differences in shape, center, and spread in context, accounting for possible effects of extreme data points.	10	1.8 Exit Ticket - Back Side.pdf	Honors extension on shape, center, spread, median, and the effect of changing a tip amount.
Unit 1: Statistics	Shared	1.9 Exit Ticket	12	S-ID.B.5	Summarize categorical data for two categories in two-way frequency tables and interpret relative frequencies.	5	1.9 Exit_Ticket.pdf	Complete the two-way frequency table; same task in Core and Honors.
Unit 1: Statistics	Shared	1.9 Exit Ticket	13a	S-ID.B.5	Summarize categorical data for two categories in two-way frequency tables and interpret relative frequencies.	5	1.9 Exit_Ticket.pdf	Students surveyed; same task in Core and Honors.
Unit 1: Statistics	Shared	1.9 Exit Ticket	13b	S-ID.B.5	Summarize categorical data for two categories in two-way frequency tables and interpret relative frequencies.	5	1.9 Exit_Ticket.pdf	Bought lunch without a sandwich; same task in Core and Honors.
Unit 1: Statistics	Shared	1.9 Exit Ticket	13c	S-ID.B.5	Summarize categorical data for two categories in two-way frequency tables and interpret relative frequencies.	5	1.9 Exit_Ticket.pdf	Percent bringing a sandwich; same task in Core and Honors.
Unit 1: Statistics	Shared	1.9 Exit Ticket	13d	S-ID.B.5	Summarize categorical data for two categories in two-way frequency tables and interpret relative frequencies.	5	1.9 Exit_Ticket.pdf	Percent of lunch-bringers without a sandwich; same task in Core and Honors.
Unit 1: Statistics	Honors	1.11 Exit Ticket	Honors Q2	S-ID.B.5	Summarize categorical data for two categories in two-way frequency tables and interpret relative frequencies.	15	1.11 Exit_Ticket.pdf	Honors extension constructing a bird-bath two-way frequency table.
